question,role,source,generated_answer,ground_truth,faithfulness,relevance,completeness,clarity,embedding_similarity
What is the primary cloud provider utilized by FinSolve Technologies?,engineering,engineering_master_doc.md,AWS,AWS,1.0,1.0,1.0,1.0,1.0
What is the name of the industry-standard protocol for authorization used by FinSolve?,engineering,engineering_master_doc.md,OAuth 2.0,OAuth 2.0,1.0,1.0,1.0,1.0,1.0
What is the purpose of the FinSolve Technologies engineering document?,engineering,engineering_master_doc.md,"To outline the technical architecture, development processes, and operational guidelines for FinSolve's product ecosystem.","To outline the technical architecture, development processes, and operational guidelines for FinSolve's product ecosystem.",1.0,1.0,0.9,0.9,1.0000001192092896
What was the year-over-year revenue growth for FinSolve Technologies in 2024?,finance,financial_summary.md,25%,25%,0.0,1.0,0.8,0.9,1.0
What was the total expense for vendor services in 2024?,finance,financial_summary.md,$30M,$30M,0.0,1.0,1.0,0.9,1.0000001192092896
What was the gross margin for FinSolve Technologies in 2024?,finance,financial_summary.md,60%,60%,1.0,1.0,1.0,1.0,1.0
What was the total revenue for FinSolve Technologies Inc. in 2024?,finance,quarterly_financial_report.md,$9.4 billion,$9.4 billion,0.0,1.0,1.0,1.0,1.0
What was the gross margin in Q4 2024?,finance,quarterly_financial_report.md,64%,64%,1.0,1.0,1.0,1.0,1.0000001192092896
How much was allocated to research and development (R&D) and market expansion initiatives in Q1 2024?,finance,quarterly_financial_report.md,$50 million,$50 million,0.0,1.0,0.5,1.0,1.0000001192092896
What is the company's vision?,general,employee_handbook.md,To empower businesses and individuals through innovative technology solutions.,To empower businesses and individuals through innovative technology solutions.,1.0,1.0,0.8,0.9,1.0000001192092896
How many days of sick leave are employees entitled to per year?,general,employee_handbook.md,12 days,12 days,1.0,1.0,1.0,1.0,1.0
What is the process for applying for maternity leave?,general,employee_handbook.md,Submit application on HRMS with medical certificate at least 8 weeks before due date.,Submit application on HRMS with medical certificate at least 8 weeks before due date.,1.0,1.0,0.9,0.8,0.9999999403953552
What was the percentage increase in new customer acquisition in 2024?,marketing,marketing_report_2024.md,20%,20%,0.0,1.0,0.8,1.0,1.0
What was the total marketing budget for FinSolve Technologies in 2024?,marketing,marketing_report_2024.md,$15M,$15M,0.0,1.0,1.0,1.0,1.0
What was the return on investment (ROI) for digital campaigns in 2024?,marketing,marketing_report_2024.md,3.5x,3.5x,0.0,1.0,0.8,0.9,1.0
What was the total marketing spend for Q1 2024?,marketing,marketing_report_q1_2024.md,$2 million,$2 million,0.0,1.0,0.8,1.0,1.0
What was the customer acquisition target for Q1 2024?,marketing,marketing_report_q1_2024.md,"150,000 new customers","150,000 new customers",0.0,1.0,0.8,0.9,1.0000001192092896
What was the achieved conversion rate in Q1 2024?,marketing,marketing_report_q1_2024.md,10.2%,10.2%,1.0,1.0,1.0,1.0,1.0000001192092896
What was the marketing spend for Q2 2024?,marketing,marketing_report_q2_2024.md,$2.5 million,$2.5 million,0.0,1.0,0.8,1.0,1.0
What was the customer acquisition target for Q2 2024?,marketing,marketing_report_q2_2024.md,"200,000 new customers","200,000 new customers",0.0,1.0,0.8,0.9,1.0000001192092896
What was the achieved conversion rate for Q2 2024?,marketing,marketing_report_q2_2024.md,12.1%,12.1%,1.0,1.0,1.0,1.0,1.0000001192092896
What was the marketing spend for Q3 2024?,marketing,marketing_report_q3_2024.md,$2 million,$2 million,0.0,1.0,0.8,1.0,1.0
What was the customer acquisition target for Q3 2024?,marketing,marketing_report_q3_2024.md,"180,000 new customers","180,000 new customers",0.0,1.0,0.8,0.9,1.0
What was the preliminary ROI for Q3 2024?,marketing,marketing_report_q3_2024.md,3.6x,3.6x,1.0,1.0,0.9,0.9,0.9999999403953552
What was the marketing spend for Q4 2024?,marketing,market_report_q4_2024.md,$2.5 million,$2.5 million,0.0,1.0,1.0,1.0,1.0
What was the target conversion rate for Q4 2024?,marketing,market_report_q4_2024.md,15.0%,15.0%,1.0,1.0,1.0,1.0,1.0
How many new customers were targeted to be acquired in Q4 2024?,marketing,market_report_q4_2024.md,"220,000","220,000",0.0,1.0,1.0,1.0,1.0000001192092896
